Issuer Name,Industry,Debt to Equity,EBITDA Margin,Interest Coverage,Issue Size (₹Cr),DefaultFlag,Final Rating
D P Jain (Nagda - Gogapur) BOT Annuity Project Pvt. Ltd.,Civil Construction,-1.23,0.00,1.66,29.24,No,A
A K Stockmart Pvt. Ltd,Stockbroking & Allied,2.02,0.00,3.46,20,No,A
Sintex Industries Limited,Other Textile Products,1.08,0.00,2.99,6799.05,No,A
D P Jain & Co. Infrastructure Pvt. Ltd.,Civil Construction,2.08,0.00,5.04,345,No,A
DB Power Ltd,Electric Utilities,3.11,0.00,1.19,7711,No,A
Adani Power Maharashtra Ltd.,Electric Utilities,8.65,0.00,4.54,15517,No,A
Haryana Power Generation Corporation Ltd,Power Generation,0.71,0.00,2.57,3804.87,No,A
Sarguja Rail Corridor Pvt. Ltd,Civil Construction,6.65,0.00,2.20,1200,No,A
John Distilleries Pvt. Ltd,Breweries & Distilleries,1.16,0.00,4.78,246,No,A
Eagle Infra India Limited,Civil Construction,0.95,0.00,4.06,835,No,A
The Bombay Dyeing and Manufacturing Company Ltd.,Diversified,21.79,0.00,4.35,731,No,A
D P Jain & Co. Infrastructure Pvt. Ltd.,Civil Construction,0.96,0.00,2.68,561.33,No,A
Adani Power Maharashtra Ltd.,Electric Utilities,1.83,0.00,4.28,16534,No,A
Indiabulls Technology Solutions Ltd.,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),0.66,0.00,13.76,10,No,A-
Gimatex Industries Pvt. Ltd.,Other Textile Products,1.79,0.00,3.24,403.08,No,A-
Aarvee Denims and Exports Ltd.,Garments & Apparels,667.95,0.00,1.93,290,No,A-
Jindal Worldwide Ltd.,Other Textile Products,2.23,0.00,3.01,466.7,No,A-
Nitin Spinners Ltd.,Other Textile Products,2.29,0.00,4.42,529.14,No,A-
Sharp Corp Limited,Other Agricultural Products,0.71,0.00,3.18,760,No,A-
Cigniti Technologies Ltd,Software Products,0.20,0.00,13.07,15,No,A-
Saraiwwalaa Agrr Refineries Limited,Other Food Products,1.50,0.00,0.99,827.45,No,A-
Cigniti Technologies Ltd,Software Products,0.20,0.00,13.07,43,No,A-
Sims Ceramic Pvt Ltd,Ceramics,0.66,0.00,8.90,98.34,No,A-
Sharp Corp Limited,Other Agricultural Products,0.71,0.00,3.18,1100,No,A-
ABCI Infrastructures Pvt. Ltd.,Civil Construction,0.96,0.00,3.29,529.85,No,A-
Gimatex Industries Pvt. Ltd.,Other Textile Products,1.79,0.00,2.47,417.24,No,A-
Lodha Group - Microtec Constructions Pvt. Ltd.,"Residential, Commercial Projects",6.39,0.00,0.46,500,No,A-
"Stree Nidhi Credit Cooperative Federation Limited, Telangana",Other Financial Services,5.19,0.00,361.10,2000,No,A-
Sims Ceramic Pvt Ltd,Ceramics,0.46,0.00,6.96,106.5,No,A-
Saraiwwalaa Agrr Refineries Limited,Other Food Products,1.43,0.00,1.34,827.45,No,A-
Kanpur Edibles Pvt Ltd,Edible Oil,354.69,0.00,6.25,567,No,A-
Kutch chemical Industries Limited,Commodity Chemicals,0.52,0.00,7.05,760,No,A-
Moolchand Healthcare Pvt Ltd,Hospital,0.61,0.00,-9.43,20,No,A-
Khalghat Sendhwa Tollways Pvt. Ltd.,Civil Construction,-0.92,0.00,1.52,600,No,A-
Vimta Labs Ltd.,"Healthcare Research, Analytics & Technology",0.26,0.00,8.76,54.3,No,A-
Gujarat State Energy Generation Ltd,Power Generation,2.80,0.00,3.36,903.14,No,A-
Alchemist Asset Reconstruction Company Ltd,Other Financial Services,0.49,0.00,7.92,100,No,A-
Shiv Shakti Inter Globe Exports Pvt. Ltd.,Other Agricultural Products,2.34,0.00,4.45,235,No,A-
"Stree Nidhi Credit Cooperative Federation Limited, Telangana",Other Financial Services,6.34,0.00,530.22,2700,No,A-
Gandhi Institute of Technology and Management,Education,3.00,0.00,6.95,761.47,No,A-
Mahalaxmi Infracontract Pvt Ltd,Coal,1.36,0.00,4.75,550,No,A-
Reliance Innoventures Pvt. Ltd.,Investment Company,0.03,0.00,0.43,250,No,A-
Maheshwari Logistics Limited,Paper & Paper Products,2.25,0.00,5.75,200,No,A-
Amrutha Constructions Pvt. Ltd.,Civil Construction,1.06,0.00,4.88,550,No,A-
"Katalyst Technologies, Inc",Software Products,1.09,0.00,7.46,430.12,No,A-
Macrotech Developers Limited,"Residential, Commercial Projects",6.29,0.00,3.33,250,No,A-
CDS Infra Projects Pvt. Ltd.(Formerly known as Centrodorstroy (India) Pvt. Ltd.),Civil Construction,0.51,0.00,3.27,150,No,A-
Flowmore Ltd,"Compressors, Pumps & Diesel Engines",0.89,0.00,1.73,700,No,A-
New Consolidated Construction Co. Ltd.,Civil Construction,0.91,0.00,0.85,593.5,No,A-
ABCI Infrastructures Pvt. Ltd.,Civil Construction,0.92,0.00,4.60,550,No,A-
Sanvijay Rolling and Engineering Limited,Iron & Steel Products,0.75,0.00,2.20,370,No,A-
Pondy Oxides and Chemicals Ltd.,Zinc,0.85,0.00,5.52,159,No,A-
"Stree Nidhi Credit Cooperative Federation Limited, Telangana",Other Financial Services,11.85,0.00,2.56,3195,No,A-
Aditya Infotech Ltd.,Industrial Products,1.93,0.00,3.24,375.9,No,A-
Adani Power Rajasthan Ltd.,Power Generation,2.73,0.00,1.31,335,No,A-
Mahima Fibres Pvt Ltd,Other Textile Products,0.99,0.00,3.32,153,No,A-
Assam Roofing Limited,Cement & Cement Products,0.75,0.00,3.77,68.5,No,A-
DB Power Ltd,Electric Utilities,3.09,0.00,1.29,7782,No,A-
RKC Infrabuilt Pvt. Ltd.,Civil Construction,0.54,0.00,9.47,240,No,A-
Hi-Tech Pipes Ltd.,Industrial Products,0.89,0.00,2.69,369.37,No,A-
The Bombay Dyeing and Manufacturing Company Ltd.,Diversified,2.61,0.00,2.41,730.81,No,A-
Pridhvi Asset Reconstruction and Securitisation Company Ltd.,Other Financial Services,0.03,0.00,5.02,60,No,A-
Rising Bhadla 2 Pvt. Ltd.,Power Generation,4.57,0.00,1.25,338.85,No,A-
Rising Bhadla 1 Pvt. Ltd.,Other Food Products,4.51,0.00,1.26,338.85,No,A-
Sanvijay Rolling and Engineering Limited,Iron & Steel Products,0.63,0.00,2.63,412.32,No,A-
"Stree Nidhi Credit Cooperative Federation Limited, Telangana",Other Financial Services,11.85,0.00,2.56,3390,No,A-
Mahima Fibres Pvt Ltd,Other Textile Products,0.80,0.00,3.57,151.23,No,A-
RKC Infrabuilt Pvt. Ltd.,Civil Construction,0.54,0.00,9.47,240,No,A-
Adani Power Rajasthan Ltd.,Power Generation,1.89,0.00,1.44,205,No,A-
Ruchi Soya Industries Ltd.,Edible Oil,1.37,0.00,2.57,3295.25,No,A-
Elecon Engineering Company Ltd,Engineering & Construction products,0.48,0.00,1.79,734.5,No,A-
Ruchi Soya Industries Ltd.,Edible Oil,1.17,0.00,14.77,3295.25,No,A-
Assam Roofing Ltd,Cement & Cement Products,1.70,0.00,2.43,83.02,No,A-
Manish Packaging Pvt. Ltd.,Packaged Foods,0.41,0.00,8.03,68.6,No,A-
Megha Engineering & Infrastructures Ltd.,Civil Construction,0.64,0.00,6.90,5210,No,A
Anand Rathi Share And Stock Brokers Ltd.,Stockbroking & Allied,1.68,0.00,1.09,640,No,A-
Assam Roofing Limited,Cement & Cement Products,1.93,0.00,2.33,83.02,No,A-
Varahi Limited,Other Food Products,1.11,0.00,3.12,159.21,No,A-
MRC Transolutions Pvt. Ltd.,Road Transport,0.80,0.00,2.73,38.41,No,A-
MBL Infrastructures Ltd.,Civil Construction,4.94,0.00,2.47,1065,No,A-
Manish Packaging Pvt. Ltd.,Packaged Foods,0.45,0.00,11.80,68.6,No,A-
Megha Engineering & Infrastructures Ltd.,Civil Construction,0.82,0.00,3.06,5210,No,A-
OPG Power Generation Pvt. Ltd.,Power Generation,0.81,0.00,3.81,165,No,A-
Orissa Manganese & Minerals Ltd.,Ferro & Silica Manganese,2.86,0.00,2.07,1461.68,No,A-
Saraiwwalaa Agrr Refineries Limited,Other Food Products,1.62,0.00,1.72,688.11,No,A-
Nandan Denim Ltd.,Other Textile Products,2.09,0.00,4.18,499.64,No,A-
Chiripal Industries Ltd.,Other Textile Products,0.83,0.00,2.08,309.15,No,A-
Tilaknagar Industries Limited,Breweries & Distilleries,1.78,0.00,2.68,814.01,No,A-
Anand Rathi Share And Stock Brokers Ltd.,Stockbroking & Allied,1.33,0.00,1.16,640,No,A-
MRC Transolutions Pvt. Ltd.,Road Transport,1.14,0.00,2.39,38.41,No,A-
Montecarlo Limited,Civil Construction,1.99,0.00,3.21,1110,No,A-
Tilaknagar Industries Limited,Breweries & Distilleries,1.26,0.00,2.88,814.01,No,A-
Kwality Limited,Dairy Products,3.40,0.00,2.39,850,No,A
Nectar Lifesciences Limited,Pharmaceuticals,1.01,0.00,2.51,1503.26,No,A
Hinduja Realty Ventures Limited,"Residential, Commercial Projects",0.40,0.00,-1.46,850,No,A
Yash Weavers Ltd.,Other Textile Products,17.41,0.00,7.01,28.08,No,A-
ACME Solar Energy (MP) Pvt Ltd,Power Generation,2.40,0.00,1.88,180,No,A
CMR Nikkei India Pvt. Ltd.,"Aluminium, Copper & Zinc Products",0.53,0.00,7.53,96.37,No,A
Mytrah Vayu (Krishna) Pvt. Ltd.,Power Generation,2.22,0.00,1.56,650,No,A-
Mytrah Vayu (Pennar) Pvt. Ltd.,Power Generation,1.76,0.00,1.74,280,No,A-
RKC Infrabuilt (Tarapur-Vasad) Road Project Pvt. Ltd.,Civil Construction,37.76,0.00,-65.34,528,No,A-
RKC Infrabuilt (Savli-Halol) Road Project Pvt. Ltd.,Civil Construction,7.05,0.00,3.27,13.75,No,A-
RKC Infrabuilt (Tarapur-Khambhat) Road Project Pvt. Ltd.,Civil Construction,9.83,0.00,3.08,5,No,A-
Rajasthan Rajya Vidyut Prasaran Nigam Ltd.,Power - Transmission,4.09,0.00,1.74,1656,No,A-
Rajasthan Rajya Vidyut Prasaran Nigam Ltd.,Power - Transmission,2.63,0.00,1.97,1000,No,A-
Ajmer Vidyut Vitran Nigam Limited,Power - Transmission,-1.13,0.00,-0.09,1327.34,No,A-
Rajasthan Rajya Vidyut Utpadan Nigam Ltd.,Power Generation,7.12,0.00,1.60,3000,No,A-
Ajmer Vidyut Vitran Nigam Limited,Power - Transmission,-1.13,0.00,-0.09,1327.34,No,A-
Ajmer Vidyut Vitran Nigam Limited,Power - Transmission,-1.51,0.00,0.75,1327.34,No,A-
Digital Venture Pvt. Ltd.,Other Utilities,3.95,0.00,1.48,125,No,A-
Gimatex Industries Pvt. Ltd.,Other Textile Products,1.92,0.00,2.67,460.63,No,A-
Lodha Group - Shreeniwas Cotton Mills Limited - World one,"Residential, Commercial Projects",1.95,0.00,0.26,470,No,A-
SPA Capital Advisors Ltd.,Other Financial Services,0.60,0.00,1.27,100,No,A
SPA Capital Advisors Ltd.,Other Financial Services,4.07,0.00,3.82,100,No,A
Digital Venture Pvt. Ltd.,Other Utilities,3.45,0.00,1.63,150,No,A-
Krishnapatnam Infratech Ltd,"Residential, Commercial Projects",3.92,0.00,227.80,200,No,A-
Shivshakti Weavtex Pvt Ltd,Other Textile Products,6.59,0.00,7.47,37.5,No,A-
Yash Exports (India) Pvt. Ltd,Other Textile Products,3.33,0.00,3.33,34.29,No,A-
Sintex Industries Limited,Other Textile Products,1.16,0.00,2.52,6799.05,No,A
A K Stockmart Pvt. Ltd,Stockbroking & Allied,1.16,0.00,4.98,100,No,A
Indiabulls Rural Finance Pvt. Ltd.,Non Banking Financial Company (NBFC),1.57,0.00,3.71,250,No,A
Lovely International Trust,Education,0.47,0.00,6.90,359.74,No,A
Columbia Petro Chem Pvt Ltd,Petrochemicals,0.37,0.00,9.28,685,No,A
Nitin Spinners Ltd.,Other Textile Products,1.71,0.00,4.18,1188.21,No,A
Simpolo Vitrified Private Limited,Ceramics,0.80,0.00,2.44,140,No,A-
Hi-Tech Pipes Ltd.,Industrial Products,1.54,0.00,2.19,400,No,A-
Ruchi Soya Industries Ltd.,Edible Oil,1.37,0.00,2.57,3295.25,No,A-
Elecon Engineering Company Ltd,Engineering & Construction products,0.56,0.00,5.75,937.13,No,A-
Elecon Engineering Company Ltd,Engineering & Construction products,0.56,0.00,5.75,937.13,No,A-
Darashaw Securities Pvt. Ltd.,Stockbroking & Allied,17.97,0.00,0.98,200,No,A-
Mahima Fibres Pvt Ltd,Other Textile Products,2.25,0.00,6.00,187,No,A-
Swaraj India Industries Limited,Dairy Products,1.32,0.00,3.70,280,No,A-
Panoli Intermediates (I) Pvt. Ltd.,Dyes And Pigments,0.81,0.00,11.98,225,No,A-
Rising Bhadla 2 Pvt. Ltd.,Power Generation,4.57,0.00,1.25,338.85,No,A-
GSPC Pipavav Power Company Ltd,Power Generation,1.51,0.00,2.74,1800,No,A-
Ajmer Vidyut Vitran Nigam Limited,Power - Transmission,-1.13,0.00,-0.09,1327.34,No,A-
Jodhpur Vidyut Vitran Nigam Limited,Power Generation,-1.07,0.00,-0.53,1586.66,No,A-
Jaipur Vidyut Vitran Nigam Ltd.,Power - Transmission,-1.15,0.00,-0.38,1726.87,No,A-
Rajasthan Rajya Vidyut Utpadan Nigam Ltd.,Power Generation,7.79,0.00,1.60,3000,No,A-
TamilNadu Cements Corporation Ltd,Cement & Cement Products,-47.23,0.00,-1.82,711.5,No,BBB-
Jaipur Vidyut Vitran Nigam Ltd.,Power - Transmission,-1.25,0.00,1.09,4053.33,No,A-
Jaipur Vidyut Vitran Nigam Ltd.,Power - Transmission,-1.15,0.00,-0.38,2227.02,No,BB
Jodhpur Vidyut Vitran Nigam Limited,Power Generation,-1.07,0.00,-0.53,1886.66,No,BB
Rajasthan Rajya Vidyut Prasaran Nigam Ltd.,Power - Transmission,3.98,0.00,1.55,629.09,No,BBB
CIL Nova Petrochemicals Ltd.,Other Textile Products,0.70,0.00,1.71,28.65,No,A
Shivalaya Construction Co. Pvt. Ltd.,Civil Construction,0.36,0.00,5.57,910,No,A-
Nitin Spinners Ltd.,Other Textile Products,1.78,0.00,6.17,1296.23,No,A
SPA Capital Advisors Ltd.,Other Financial Services,0.60,0.00,1.27,75,No,A
Ghodawat Energy Pvt. Ltd.,Power Generation,0.42,0.00,5.41,80,No,A-
Hinduja Healthcare Limited,Hospital,22.39,0.00,-0.80,108,No,A-
Shivalaya Construction Co. Pvt. Ltd.,Civil Construction,0.79,0.00,3.42,660,No,A-
Sims Ceramic Pvt Ltd,Ceramics,0.55,0.00,4.00,109.94,No,A-
Ramalingam Construction Company Pvt. Ltd.,Civil Construction,0.42,0.00,17.45,669.08,No,A-
Enzen Global Solutions Private Limited,Computers - Software & Consulting,0.47,0.00,20.10,131,No,A-
Pridhvi Asset Reconstruction and Securitisation Company Ltd.,Other Financial Services,2.36,0.00,2.20,50,No,A-
SMS Ltd. (erstwhile SMS Infrastructure Ltd),Civil Construction,-3.89,0.00,2.60,1269,No,A
Enzen Global Solutions Private Limited,Computers - Software & Consulting,0.18,0.00,7.06,62.5,No,A
SMS Ltd. (erstwhile SMS Infrastructure Ltd),Civil Construction,4.99,0.00,2.68,1394.61,No,A
SMS Ltd. (erstwhile SMS Infrastructure Ltd),Civil Construction,6.06,0.00,3.73,1394.61,No,A
Eagle Infra India Limited,Civil Construction,1.09,0.00,3.38,700,No,A-
Swaraj India Industries Limited,Dairy Products,1.30,0.00,2.68,350,No,A-
Veer Plastics Pvt. Ltd.,Plastic Products - Consumer,1.47,0.00,6.18,190.41,No,A-
Gimatex Industries Pvt. Ltd.,Other Textile Products,1.72,0.00,2.48,521.35,No,A-
SRMB Srijan Private Limited,Iron & Steel Products,0.79,0.00,3.06,229.02,No,A-
Gravita India Ltd.,Diversified Metals,2.31,0.00,6.13,300.71,No,A-
New Consolidated Construction Co. Ltd.,Civil Construction,0.73,0.00,3.36,250,No,A-
New Consolidated Construction Co. Ltd.,Civil Construction,1.14,0.00,2.75,250,No,A-
New Consolidated Construction Co. Ltd.,Civil Construction,1.14,0.00,2.75,375,No,A-
Valliammai Society,Education,0.33,0.00,1.14,65,No,A-
Haryana Power Generation Corporation Limited,Power Generation,0.19,0.00,3.50,2500,No,A
OPG Power Generation Pvt. Ltd.,Power Generation,0.81,0.00,3.81,1483,No,A+
Kwality Limited,Dairy Products,2.43,0.00,2.53,1150,No,A+
Gayatri Jhansi Roadways Ltd.,Civil Construction,19.09,0.00,-0.28,341,No,A+
Century Metal Recycling Ltd.(Formerly known as Century Metal Recycling Pvt. Ltd.),"Aluminium, Copper & Zinc Products",0.51,0.00,4.64,370.62,No,A+
Jindal Worldwide Ltd,Other Textile Products,1.64,0.00,2.70,512.96,No,A+
OPG Power Generation Pvt. Ltd.,Power Generation,1.26,0.00,6.65,1286.37,No,A+
Romell Real Estate Pvt Ltd,Real Estate related services,1.41,0.00,2.53,469.9,No,A+
Montecarlo Limited,Civil Construction,0.50,0.00,9.53,1990,No,A+
Badve Engineering Ltd.,2/3 Wheelers,1.67,0.00,2.81,2200,No,A+
Indian Potash Limited ,Fertilizers,4.45,0.00,1.33,8750,No,A+
Indian Potash Limited ,Fertilizers,2.26,0.00,1.38,8750,No,A+
CIL Nova Petrochemicals Ltd.,Other Textile Products,0.73,0.00,3.74,28.65,No,A+
Romell Real Estate Pvt Ltd,Real Estate related services,1.30,0.00,2.88,495,No,A+
Montecarlo Limited,Civil Construction,0.67,0.00,3.33,1990,No,A+
SRM Institute of Science and Technology,Education,1.53,0.00,4.39,1365.14,No,A+
Badve Engineering Ltd.,2/3 Wheelers,1.67,0.00,2.81,2550.16,No,A+
Badve Engineering Ltd.,2/3 Wheelers,1.39,0.00,3.40,2550.16,No,A+
Belrise Industries Ltd. (erstwhile Badve Engineering Ltd.),2/3 Wheelers,1.39,0.00,3.40,2550.16,No,A+
Gosil Exports Pvt. Ltd,"Gems, Jewellery And Watches",0.25,0.00,2.13,11,No,A4
Kohinoor Enterprises,Garments & Apparels,16.08,0.00,1.15,14,No,A4+
TRB Exports Pvt. Ltd.,Other Utilities,1.04,0.00,2.65,14,No,A4+
Euro Leder Fashion Limited,Leather And Leather Products,1.28,0.00,0.71,20,No,A4+
Talwalkars Better Value Fitness Ltd,Healthcare Service Provider,0.95,0.00,3.74,110.09,No,AA
Indore Municipal Corporation,Development Authority,0.09,0.00,17.93,150,No,AA
Indore Municipal Corporation,Development Authority,0.09,0.00,17.93,320,No,AA
Indore Municipal Corporation,Development Authority,0.09,0.00,11.74,320,No,AA
TVS Credit Services Ltd.,Non Banking Financial Company (NBFC),7.12,0.00,1.11,2686.09,No,AA-
Bhubaneshwar Power Private Limited,Power Generation,3.88,0.00,1.12,768.36,No,AA-
Chemplast Sanmar Ltd,Specialty Chemicals,1.06,0.00,7.59,1741.5,No,AA-
Patanjali Ayurved Ltd,Diversified consumer products,1.61,0.00,7.49,2593.05,No,AA-
Patanjali Ayurved Ltd,Diversified consumer products,1.61,0.00,7.49,2976.36,No,AA-
Gujarat State Petroleum Corporation Ltd.,Oil Exploration & Production,7.16,0.00,2.54,7500,No,AA-
Gujarat State Petroleum Corporation Ltd.,Oil Exploration & Production,3.09,0.00,2.84,7500,No,AA-
Patanjali Ayurved Ltd,Diversified consumer products,0.53,0.00,3.59,2955.92,No,AA-
Jindal Worldwide Ltd.,Other Textile Products,1.19,0.00,1.97,565.66,No,AA-
Tvs Credit Services Ltd,Non Banking Financial Company (NBFC),7.12,0.00,1.11,2146.03,No,AA-
Hubli Electricity Supply Company Limited,Power - Transmission,-6.99,0.00,1.94,8485,No,AA-
Avanse Financial Services Limited (erstwhile Avanse Financial Services Pvt. Ltd.),Non Banking Financial Company (NBFC),1.79,0.00,-0.09,100,No,AA
Indiabulls Real Estate Co. Pvt. Ltd.,"Residential, Commercial Projects",3.45,0.00,1.36,2750,No,AA-
A.K. Capital Services Ltd.,Other Financial Services,3.29,0.00,0.10,785.08,No,AA-
A.K. Capital Services Ltd.,Other Financial Services,5.37,0.00,-0.20,785,No,AA-
Bikaji Foods International Ltd.,Diversified consumer products,0.38,0.00,12.26,150,No,AA-
Bikaji Foods International Ltd.,Diversified consumer products,0.31,0.00,13.38,150,No,AA-
Patanjali Ayurved Ltd,Diversified consumer products,0.81,0.00,3.54,2700,No,AA-
Jindal Worldwide Ltd.,Other Textile Products,2.10,0.00,5.51,565.66,No,AA-
Uttar Gujarat Vij Company Ltd,Power Distribution,0.46,0.00,3.71,448.25,No,AA+
Gujarat Energy Transmission Corporation Ltd.,Power - Transmission,1.77,0.00,3.81,3161.76,No,AA+
Paschim Gujarat Vij Company Ltd,Power Distribution,0.04,0.00,4.43,783.64,No,AA+
Madhya Gujarat Vij Company Ltd,Power Distribution,0.78,0.00,4.73,451.85,No,AA+
Dakshin Gujarat Vij Company Ltd,Power Distribution,0.02,0.00,3.33,665.5,No,AA+
Gujarat Urja Vikas Nigam Ltd,Integrated Power Utilities,1.01,0.00,3.91,3643.95,No,AA+
Adani Transmission Ltd,Power - Transmission,5.42,0.00,4.29,400,No,AA+
Gujarat Urja Vikas Nigam Ltd,Integrated Power Utilities,0.97,0.00,2.93,3843.95,No,AA+
Adani Transmission Ltd,Power - Transmission,2.07,0.00,2.23,400,No,AA+
NLC Tamilnadu Power Ltd.,Electric Utilities,1.79,0.00,2.33,572.85,No,AA+
Edelweiss Rural & Corporate Services Limited,Stockbroking & Allied,8.66,0.00,0.08,500,No,AA+
Gujarat Urja Vikas Nigam Ltd,Integrated Power Utilities,1.01,0.00,3.91,3245.95,No,AA+
Cross Border Power Transmission Company Ltd,Power - Transmission,1.81,0.00,0.10,153.54,No,AA+
Azim Premji Foundation,Education,0.02,0.00,-129.61,20,No,AAA
NLC India Ltd (Formerly Neyveli Lignite Corporation Ltd),Coal,1.50,0.00,3.29,6636.75,No,AAA
Welspun Delhi Meerut Expressway Pvt. Ltd. ,Civil Construction,-113.32,0.00,-0.02,413,No,AAA
Mazagon Dock Shipbuilders Ltd (ersrwhile Mazagon Dock Ltd),Ship Building & Allied Services,0.05,0.00,11.10,2400,No,AAA
Bharat Sanchar Nigam Ltd.(BSNL),Telecom - Cellular & Fixed line services,0.77,0.00,-17.20,31213,No,AAA
Hasham Traders,Non Banking Financial Company (NBFC),0.27,0.00,7.15,1000,No,AAA
Hasham Traders,Non Banking Financial Company (NBFC),0.50,0.00,51.94,1000,No,AAA
Finewood Concepts Pvt. Ltd.,"Furniture, Home Furnishing",7.00,0.00,2.79,12.77,No,AAA
Greatship (India) Ltd,Offshore Support Solution Drilling,0.46,0.00,7.77,1552,No,AAA
Greatship (India) Ltd,Offshore Support Solution Drilling,0.82,0.00,3.37,1618,No,AAA
Hasham Traders,Non Banking Financial Company (NBFC),0.27,0.00,7.15,1000,No,AAA
Lizer Cylinders Limited,Auto Components & Equipments,1.71,0.00,-0.09,23.53,No,B
Jaikumar Constructions LLP,"Residential, Commercial Projects",0.03,0.00,-0.33,20,No,B
J.J. Coatings,Dyes And Pigments,1.37,0.00,2.69,6.96,No,B
Innovative Tyres & Tubes Ltd.,Tyres & Rubber Products,1.73,0.00,1.64,30,No,B
Indison Agro Foods Ltd.,Other Agricultural Products,2.04,0.00,3.08,175,No,B
Winfab Equipments Pvt. Ltd.,Distributors,4.25,0.00,-3.78,5.6,No,B
LMB Sons,Diversified Commercial Services,5.60,0.00,0.94,10.01,No,B
Sarojini Educational Society,Education,0.59,0.00,4.17,9.16,No,B
Aditya Coke Pvt. Ltd.,Coal,4.32,0.00,-6.15,28.75,No,B
Agrawal Warehousing & Logistics,Food Storage Facilities,1.11,0.00,2.07,7.2,No,B
Sri Hanuman Cotton Ginners,Other Textile Products,1.26,0.00,2.04,5.75,No,B
Tejas Energy and Projects Pvt. Ltd.,Other Agricultural Products,4.35,0.00,0.65,13.5,No,B
Umashree Rice Mills Pvt. Ltd.,Other Food Products,3.10,0.00,1.97,12,No,B
Baba Bhuman Shah Ji Industries,Other Agricultural Products,13.45,0.00,7.84,9.25,No,B
Shree Bhawani Plywood Industry,Forest Products,3.21,0.00,-0.13,8.01,No,B
Sri Venkateshwara Rice Tech,Other Agricultural Products,-124.99,0.00,1.92,6.22,No,B
Nimma Narayan Engineers & Contractors,Civil Construction,0.31,0.00,5.20,15,No,B
SPL Textile,Garments & Apparels,2.04,0.00,1.68,7,No,B
Dong Sung Automotive India Pvt. Ltd.,Auto Components & Equipments,1.08,0.00,1.43,8,No,B
